Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.bookkeeper.proto;Segment;newBuilderForType;4.1.1;2;2;1;0;2;5;5;5,00;0;0;0,00;5;5;5,00;0;1;1;false
BOOKKEEPER;org.apache.bookkeeper.proto;Segment;newBuilderForType;4.2.0;2;2;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;false
BOOKKEEPER;org.apache.bookkeeper.proto;Segment;newBuilderForType;4.2.1;2;2;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;false
BOOKKEEPER;org.apache.bookkeeper.proto;LockDataFormat;internalGetFieldAccessorTable;4.1.1;1;1;1;0;2;3;3;1,50;0;0;0,00;3;3;1,50;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.proto;LockDataFormat;internalGetFieldAccessorTable;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.proto;LockDataFormat;internalGetFieldAccessorTable;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.proto;Counter;dec;4.0.0;0;0;0;0;3;6;3;3,00;2;2;1,00;8;5;4,00;0;0;0;false
BOOKKEEPER;org.apache.hedwig.protocol;SubscribeRequest;writeTo;4.0.0;8;8;4;3;2;26;13;13,00;11;11;5,50;37;24;18,50;3;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;SubscribeRequest;writeTo;4.1.0;10;10;5;4;1;16;16;16,00;16;16;16,00;32;32;32,00;4;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;SubscribeRequest;writeTo;4.1.1;14;14;7;6;14;14;8;1,00;0;0;0,00;14;8;1,00;6;3;1;false
BOOKKEEPER;org.apache.hedwig.protocol;SubscribeRequest;writeTo;4.2.0;14;14;7;6;0;0;0;0,00;0;0;0,00;0;0;0,00;6;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;SubscribeRequest;writeTo;4.2.1;14;14;7;6;0;0;0;0,00;0;0;0,00;0;0;0,00;6;3;1;true
BOOKKEEPER;org.apache.hedwig.jms;QueueSubscription;isTopic;4.2.1;1;1;1;0;2;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.bookkeeper.bookie;Bookie;process;4.0.0;12;11;6;9;4;36;24;12,00;2;2;0,67;38;24;12,67;5;6;1;true
BOOKKEEPER;org.apache.bookkeeper.bookie;Bookie;process;4.1.0;23;19;6;7;2;6;5;3,00;7;4;3,50;13;9;6,50;5;7;3;true
BOOKKEEPER;org.apache.bookkeeper.bookie;Bookie;process;4.1.1;5;4;2;1;16;23;13;1,53;9;9;0,60;32;13;2,13;1;3;1;true
BOOKKEEPER;org.apache.bookkeeper.bookie;Bookie;process;4.2.0;5;4;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;true
BOOKKEEPER;org.apache.bookkeeper.bookie;Bookie;process;4.2.1;5;4;2;1;2;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;true
BOOKKEEPER;org.apache.hedwig.jms.message;MapMessageImpl;getFloat;4.2.1;1;1;1;0;1;3;3;3,00;0;0;0,00;3;3;3,00;0;1;1;true
BOOKKEEPER;org.apache.bookkeeper.metastore;MetastoreTableItem;setValue;4.1.1;1;1;1;0;1;2;2;2,00;0;0;0,00;2;2;2,00;0;1;1;false
BOOKKEEPER;org.apache.bookkeeper.metastore;MetastoreTableItem;setValue;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;false
BOOKKEEPER;org.apache.bookkeeper.metastore;MetastoreTableItem;setValue;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;false
BOOKKEEPER;org.apache.bookkeeper.bookie;InterleavedLedgerStorage;getEntry;4.1.0;7;7;3;2;2;17;15;8,50;2;2;1,00;19;15;9,50;2;3;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;InterleavedLedgerStorage;getEntry;4.1.1;7;7;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;InterleavedLedgerStorage;getEntry;4.2.0;7;7;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;InterleavedLedgerStorage;getEntry;4.2.1;7;7;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;2;false
