Attributo;Pearson;Spearman
Version;0,275376;0,259299
Cyclomatic;0,038954;0,059774
LOC;0,026111;0,049495
Statement;0,023831;0,049024
NestingDepth;0,008952;0,040925
BranchPoints;0,029815;0,034353
Cognitive;0,023181;0,032887
Project;0;0
ParametersCount;0,024358;-0,032853
MaxDeletedLines;0,015392;-0,040668
DeletedLines;0,01182;-0,041135
AvgDeletedLines;0,041126;-0,045061
Package;0,142781;-0,051932
Class;0,035863;-0,056224
Method;0,013903;-0,074248
AvgAddedLines;0,127379;-0,154913
AddedLines;0,019363;-0,158977
MaxChurn;0,010166;-0,1595
MaxAddedLines;0,027326;-0,159847
Churn;0,009939;-0,160391
AvgChurn;0,129992;-0,161923
MethodHistories;0,066044;-0,201765
