Model;Feature Selection;Features Number;Fold;Precision;Recall;F1-score;Area Under ROC (AUC);Kappa;Accuracy;True Positive Rate (TPR);False Positive Rate (FPR);True Negative Rate (TNR);False Negative Rate (FNR);NPofB20
RandomForest;none;22;1;0.8106796116504854;0.7157142857142857;0.7602427921092565;0.8793099095308227;0.6479468873630122;0.84645286686103;0.7157142857142857;0.0861561119293078;0.9138438880706922;0.2842857142857143;0.5514285714285714
RandomForest;none;22;2;0.01615508885298869;0.45454545454545453;0.031201248049921994;0.6872287782845503;0.010948398075280282;0.7007228915662651;0.45454545454545453;0.29663906478324403;0.7033609352167559;0.5454545454545454;0.22727272727272727
RandomForest;none;22;3;0.9637681159420289;0.05326391670004005;0.10094876660341556;0.6311495539355373;0.0389786833637582;0.4159270216962525;0.05326391670004005;0.003207184092366902;0.9967928159076331;0.94673608329996;0.2715258309971966
RandomForest;none;22;4;0.997673065735893;0.5254289215686274;0.6883403572145294;0.958050079575267;0.41725202504505254;0.6791985127039868;0.5254289215686274;0.0025364616360177552;0.9974635383639823;0.47457107843137253;0.296875
NaiveBayes;none;22;1;0.6093023255813953;0.18714285714285714;0.2863387978142076;0.833469387755102;0.1505597097473561;0.6827016520894073;0.18714285714285714;0.061855670103092786;0.9381443298969072;0.8128571428571428;0.43142857142857144
NaiveBayes;none;22;2;0.02517162471395881;0.5;0.04793028322440086;0.7090898020634991;0.028313421496211154;0.7893975903614457;0.5;0.207501217730151;0.792498782269849;0.5;0.45454545454545453
NaiveBayes;none;22;3;0.631578947368421;0.024028834601521828;0.0462962962962963;0.5877129527851639;0.001224259422663555;0.3905325443786982;0.024028834601521828;0.02245028864656831;0.9775497113534317;0.9759711653984782;0.25710853023628355
NaiveBayes;none;22;4;0.7688172043010753;0.04381127450980392;0.08289855072463768;0.9000114234025887;0.010997309914831842;0.34641602974592023;0.04381127450980392;0.027266962587190868;0.9727330374128091;0.9561887254901961;0.2775735294117647
IBk;none;22;1;0.6124694376528117;0.7157142857142857;0.6600790513833992;0.761749947401641;0.463359415901405;0.7492711370262392;0.7157142857142857;0.23343151693667158;0.7665684830633285;0.2842857142857143;0.38857142857142857
IBk;none;22;2;0.0227111426543648;0.7272727272727273;0.0440467997247075;0.6870378160563255;0.02397714308161366;0.6653012048192771;0.7272727272727273;0.33536288358499755;0.6646371164150024;0.2727272727272727;0.38636363636363635
IBk;none;22;3;0.8865435356200527;0.26912294753704447;0.41290322580645167;0.5888389993585632;0.17689735864348374;0.5288461538461539;0.26912294753704447;0.055163566388710714;0.9448364336112893;0.7308770524629555;0.28193832599118945
IBk;none;22;4;0.9913560237709347;0.5621936274509803;0.7174975562072335;0.8874870612480883;0.4482543402406;0.701507952902293;0.5621936274509803;0.010145846544071021;0.989854153455929;0.4378063725490196;0.29534313725490197
RandomForest;info-gain;13;1;0.8294849023090586;0.6671428571428571;0.7395091053048297;0.8741289711760993;0.6261392537163443;0.8401360544217686;0.6671428571428571;0.07069219440353461;0.9293078055964654;0.33285714285714285;0.5614285714285714
RandomForest;info-gain;13;2;0.013610888710968775;0.38636363636363635;0.026295436968290797;0.6770607315237125;0.005933747054340202;0.6966265060240964;0.38636363636363635;0.30004870920603993;0.69995129079396;0.6136363636363636;0.22727272727272727
RandomForest;info-gain;13;3;0.9512195121951219;0.07809371245494594;0.1443375277572169;0.6384642969896139;0.05616905449144092;0.42998027613412226;0.07809371245494594;0.006414368184733804;0.9935856318152662;0.9219062875450541;0.27432919503404085
RandomForest;info-gain;13;4;0.9988023952095808;0.5110294117647058;0.6761248479935144;0.9627628159697614;0.4041838811546818;0.6699029126213593;0.5110294117647058;0.0012682308180088776;0.9987317691819911;0.4889705882352941;0.296875
