Attributo;Pearson;Spearman
Statement;0,246323;0,253107
LOC;0,240339;0,252977
NestingDepth;0,25947;0,240619
BranchPoints;0,21581;0,232049
Cognitive;0,175891;0,231096
Cyclomatic;0,216127;0,228938
MethodHistories;0,178689;0,193495
AvgAddedLines;0,08858;0,122974
ParametersCount;0,116932;0,120317
MaxDeletedLines;0,081415;0,120098
DeletedLines;0,078781;0,119689
MaxChurn;0,138471;0,112985
Churn;0,117077;0,112401
AddedLines;0,12447;0,109376
MaxAddedLines;0,139279;0,109153
AvgChurn;0,089277;0,106131
AvgDeletedLines;0,113773;0,071031
Package;0,04389;0,068831
Method;0,00839;0,045839
Project;0;0
Class;0,018911;-0,015279
Version;0,017677;-0,055732
