Model;Feature Selection;Features Number;Fold;Precision;Recall;F1-score;Area Under ROC (AUC);Kappa;Accuracy;True Positive Rate (TPR);False Positive Rate (FPR);True Negative Rate (TNR);False Negative Rate (FNR);NPofB20
RandomForest;none;22;1;0.89;0.08;0.15;0.96;0.13;0.86;0.08;0;1;0.92;0.91
RandomForest;none;22;2;0.86;0.86;0.86;0.98;0.84;0.96;0.86;0.02;0.98;0.14;0.97
RandomForest;none;22;3;0.91;0.79;0.85;0.98;0.82;0.96;0.79;0.01;0.99;0.21;0.93
RandomForest;none;22;4;0.83;0.92;0.87;0.99;0.85;0.97;0.92;0.03;0.97;0.08;0.99
RandomForest;none;22;5;0.93;0.85;0.89;0.99;0.88;0.97;0.85;0.01;0.99;0.15;0.97
RandomForest;none;22;6;0.84;0.86;0.85;0.97;0.83;0.96;0.86;0.02;0.98;0.14;0.93
RandomForest;none;22;7;0.87;0.91;0.89;0.99;0.88;0.97;0.91;0.02;0.98;0.09;0.96
RandomForest;none;22;8;0.33;0.8;0.47;0.93;0.43;0.91;0.8;0.08;0.92;0.2;0.96
NaiveBayes;none;22;1;0.55;0.22;0.31;0.87;0.25;0.86;0.22;0.03;0.97;0.78;0.62
NaiveBayes;none;22;2;0.48;0.26;0.34;0.9;0.27;0.87;0.26;0.04;0.96;0.74;0.72
NaiveBayes;none;22;3;0.47;0.25;0.32;0.89;0.25;0.85;0.25;0.05;0.95;0.75;0.7
NaiveBayes;none;22;4;0.43;0.24;0.31;0.9;0.25;0.87;0.24;0.04;0.96;0.76;0.73
NaiveBayes;none;22;5;0.44;0.23;0.3;0.89;0.24;0.87;0.23;0.04;0.96;0.77;0.71
NaiveBayes;none;22;6;0.37;0.2;0.26;0.87;0.19;0.87;0.2;0.05;0.95;0.8;0.69
NaiveBayes;none;22;7;0.39;0.2;0.27;0.89;0.2;0.87;0.2;0.04;0.96;0.8;0.75
NaiveBayes;none;22;8;0.15;0.17;0.16;0.85;0.11;0.91;0.17;0.05;0.95;0.83;0.7
IBk;none;22;1;0.84;0.43;0.57;0.68;0.52;0.9;0.43;0.01;0.99;0.57;0.51
IBk;none;22;2;0.79;0.86;0.82;0.91;0.8;0.95;0.86;0.03;0.97;0.14;0.87
IBk;none;22;3;0.87;0.77;0.82;0.91;0.79;0.95;0.77;0.02;0.98;0.23;0.84
IBk;none;22;4;0.82;0.91;0.86;0.97;0.84;0.97;0.91;0.03;0.97;0.09;0.97
IBk;none;22;5;0.92;0.85;0.88;0.96;0.86;0.97;0.85;0.01;0.99;0.15;0.92
IBk;none;22;6;0.83;0.86;0.84;0.94;0.82;0.96;0.86;0.02;0.98;0.14;0.93
IBk;none;22;7;0.85;0.91;0.88;0.98;0.87;0.97;0.91;0.02;0.98;0.09;0.96
IBk;none;22;8;0.33;0.79;0.47;0.91;0.43;0.91;0.79;0.08;0.92;0.21;0.95
RandomForest;info-gain;18;1;0.91;0.1;0.19;0.96;0.16;0.86;0.1;0;1;0.9;0.91
RandomForest;info-gain;18;2;0.85;0.88;0.87;0.98;0.85;0.96;0.88;0.02;0.98;0.12;0.97
RandomForest;info-gain;18;3;0.89;0.81;0.85;0.98;0.83;0.96;0.81;0.02;0.98;0.19;0.95
RandomForest;info-gain;18;4;0.82;0.92;0.87;0.99;0.85;0.97;0.92;0.03;0.97;0.08;0.99
RandomForest;info-gain;18;5;0.93;0.86;0.89;0.99;0.88;0.97;0.86;0.01;0.99;0.14;0.97
RandomForest;info-gain;18;6;0.83;0.87;0.85;0.97;0.83;0.96;0.87;0.02;0.98;0.13;0.94
RandomForest;info-gain;18;7;0.87;0.91;0.89;0.98;0.88;0.97;0.91;0.02;0.98;0.09;0.97
RandomForest;info-gain;18;8;0.33;0.82;0.47;0.93;0.43;0.91;0.82;0.09;0.91;0.18;0.97
NaiveBayes;info-gain;18;1;0.55;0.22;0.31;0.87;0.25;0.86;0.22;0.03;0.97;0.78;0.62
NaiveBayes;info-gain;18;2;0.48;0.26;0.34;0.9;0.27;0.87;0.26;0.04;0.96;0.74;0.72
NaiveBayes;info-gain;18;3;0.47;0.25;0.32;0.89;0.25;0.85;0.25;0.05;0.95;0.75;0.7
NaiveBayes;info-gain;18;4;0.43;0.24;0.31;0.9;0.25;0.87;0.24;0.04;0.96;0.76;0.73
NaiveBayes;info-gain;18;5;0.44;0.22;0.3;0.89;0.23;0.87;0.22;0.04;0.96;0.78;0.71
NaiveBayes;info-gain;18;6;0.37;0.19;0.26;0.87;0.19;0.87;0.19;0.04;0.96;0.81;0.69
NaiveBayes;info-gain;18;7;0.39;0.2;0.27;0.89;0.2;0.87;0.2;0.04;0.96;0.8;0.75
NaiveBayes;info-gain;18;8;0.15;0.17;0.16;0.85;0.11;0.91;0.17;0.05;0.95;0.83;0.7
IBk;info-gain;18;1;0.84;0.44;0.57;0.68;0.52;0.9;0.44;0.01;0.99;0.56;0.51
IBk;info-gain;18;2;0.79;0.86;0.82;0.91;0.8;0.95;0.86;0.03;0.97;0.14;0.87
IBk;info-gain;18;3;0.87;0.77;0.82;0.91;0.79;0.95;0.77;0.02;0.98;0.23;0.84
IBk;info-gain;18;4;0.82;0.91;0.86;0.97;0.84;0.97;0.91;0.03;0.97;0.09;0.97
IBk;info-gain;18;5;0.92;0.85;0.88;0.96;0.87;0.97;0.85;0.01;0.99;0.15;0.92
IBk;info-gain;18;6;0.83;0.86;0.84;0.94;0.82;0.96;0.86;0.02;0.98;0.14;0.93
IBk;info-gain;18;7;0.85;0.91;0.88;0.98;0.87;0.97;0.91;0.02;0.98;0.09;0.96
IBk;info-gain;18;8;0.33;0.79;0.47;0.91;0.43;0.91;0.79;0.08;0.92;0.21;0.95
