Attributo;Pearson;Spearman
Project;0,000000;NaN
Package;0,043890;0,068831
Class;0,018911;-0,015279
Method;0,008390;0,045839
Version;0,017677;-0,055732
LOC;0,240339;0,252977
Statement;0,246323;0,253107
Cyclomatic;0,216127;0,228938
Cognitive;0,175891;0,231096
MethodHistories;0,178689;0,193495
AddedLines;0,124470;0,109376
MaxAddedLines;0,139279;0,109153
AvgAddedLines;0,088580;0,122974
DeletedLines;0,078781;0,119689
MaxDeletedLines;0,081415;0,120098
AvgDeletedLines;0,113773;0,071031
Churn;0,117077;0,112401
MaxChurn;0,138471;0,112985
AvgChurn;0,089277;0,106131
BranchPoints;0,215810;0,232049
NestingDepth;0,259470;0,240619
ParametersCount;0,116932;0,120317
